Store_ID,ItemNum,AltSKU
1001,werner stick,709972311250
1001,werner stick,709972311236
1001,werner stick,709972311212
1001,werner reg,709972800877
1001,werner reg,709972800860
1001,werner reg,709972800839
1001,werner reg,709972800396
1001,werner reg,709972800372
1001,werner reg,709972800341
1001,werner reg,709972800334
1001,werner reg,709972800310
1001,werner reg,709972800242
1001,werner reg,709972800167
1001,werner reg,709972800150
1001,werner reg,709972800129
1001,werner reg,709972800112
1001,werner reg,709972800105
1001,werner reg,709972800075
1001,werner reg,709972800020
1001,werner reg,709972800013
1001,tostitos salsa 15oz,028400055994
1001,tostitos salsa 15oz,028400055987
1001,tostitos salsa 15oz,028400055970
1001,tostitos queso 15oz,028400070980
1001,tostitos queso 15oz,028400058407
1001,svenhard 2oz,071166001071
1001,svenhard 2oz,071166001057
1001,svenhard 2oz,071166001033
1001,svenhard 2oz,071166001026
1001,svenhard 2oz,071166001019
1001,speedstickwoman,022200954419
1001,speedstickman,022200940221
1001,speedstickman,022200940207
1001,speedstickman,022200004831
1001,speedstickman,022200003247
1001,Solo plastic cup,041165416206
1001,Solo plastic cup,041165412291
1001,shaker,700522102083
1001,sc510,735975811268
1001,sc50f,735975811114
1001,sc50e,735975808664
1001,sc50c,735975808602
1001,sc50b,735975808541
1001,sc50a,735975808558
1001,sc509,735975808633
1001,sc508,735975811183
1001,sc507,735975811152
1001,sc506,735975811084
1001,sc505,735975808329
1001,sc504,735975808442
1001,sc503,735975808510
1001,sc502,735975811046
1001,sc501,735975811220
1001,sc320,735975608509
1001,sc319,735975611172
1001,sc318,735975611073
1001,sc317,735975608530
1001,sc316,735975608363
1001,sc315,735975607045
1001,sc314,735975607304
1001,sc313,735975606895
1001,sc312,735975608592
1001,sc311,735975611257
1001,sc310,735975607212
1001,sc309,735975607731
1001,sc308,735975608653
1001,sc307,735975607083
1001,sc306,735975608622
1001,sc305,735975606970
1001,sc304,735975608394
1001,sc303,735975611035
1001,sc302,735975611141
1001,sc301,735975607397
1001,sc220,735975408529
1001,sc219,735975407201
1001,sc217,735975411062
1001,sc216,735975408314
1001,sc215,735975411130
1001,sc214,735975408642
1001,sc213,735975408581
1001,sc212,735975411161
1001,sc211,735975411024
1001,sc210,735975407249
1001,sc20a,735975311003
1001,sc209,735975408611
1001,sc208,735975407119
1001,sc208,735975406846
1001,sc208,735975406594
1001,sc208,684276
1001,sc207,735975407416
1001,sc205,735975411109
1001,sc204,735975408420
1001,sc203,735975411215
1001,sc202,735975407294
1001,sc201,735975406969
1001,sc120,735975207375
1001,sc119,735975207238
1001,sc118,735975208006
1001,sc117,735975208488
1001,sc116,735975207450
1001,sc115,735975208341
1001,sc114,735975207184
1001,sc113,735975207191
1001,sc112,735975207498
1001,sc111,735975211099
1001,sc110,735975211051
1001,sc10h,735975111238
1001,sc10d,735975111191
1001,sc10a,735975111122
1001,sc109,735975208419
1001,sc108,735975211204
1001,sc107,735975207320
1001,sc106,735975211242
1001,sc105,735975108566
1001,sc104,735975108474
1001,sc103,735975107620
1001,sc102,735975108672
1001,sc101,735975108337
1001,razors 2pk,841058025009
1001,razors 2pk,675690501412
1001,razors 2pk,3014260294298
1001,razors 2pk,070330713802
1001,quiss 16oz,877621000241
1001,quiss 16oz,877621000234
1001,quiss 16oz,877621000227
1001,planter 2/1,029000075368
1001,planter 2/1,029000072336
1001,pemmican 599,026200593500
1001,pemmican 599,026200584607
1001,pemmican 599,026200584409
1001,pemmican 599,026200584003
1001,pemmican 599,026200581804
1001,pc99,844698037487
1001,pc98,839503001098
1001,pc97,654367584125
1001,pc96,895556001041
1001,pc95,038389256053
1001,pc94,854982001681
1001,pc93,895556001140
1001,pc91,895556001607
1001,pc89,844698033762
1001,pc88,884154451051
1001,pc87,895556001027
1001,pc85,855585000323
1001,pc84,002105048208
1001,pc83,895556001058
1001,pc82,038389241059
1001,pc81,884154428053
1001,pc80,895556001249
1001,pc79,844698044553
1001,pc78,895556001171
1001,pc76,875422007971
1001,pc75,895556001904
1001,pc74,895556001270
1001,pc73,875422009647
1001,pc72,912401810143
1001,pc71,875422000767
1001,pc7,838389473050
1001,pc69,646279599618
1001,pc69,646279599595
1001,pc68,875422008268
1001,pc67,875422005885
1001,pc67,875422004819
1001,pc67,875422001320
1001,pc66,895556001102
1001,pc65,895556001065
1001,pc60,871034018343
1001,pc58,895556001331
1001,pc57,038389122051
1001,pc55,895556001782
1001,pc54,875422001948
1001,pc54,182607000369
1001,pc53,pcwd5
1001,pc52,875422006134
1001,pc51,884154979050
1001,pc50,875422008442
1001,pc49,625777142335
1001,pc48,838389030055
1001,pc47,839503008585
1001,pc46,667106789057
1001,pc45,871034018336
1001,pc43,895556001379
1001,pc43,875422005915
1001,pc40,871034019562
1001,pc39,875422001146
1001,pc37,895556001010
1001,pc36,838389178054
1001,pc32,798304124330
1001,pc31,875422005892
1001,pc28,844698044546
1001,pc27,895556001102
1001,pc26,949836603200
1001,pc25,871034019555
1001,pc24,871034019067
1001,pc220,912401810129
1001,pc219,844698037470
1001,pc218,625777142342
1001,pc217,884154427025
1001,pc216,895556001201
1001,pc214,844698033755
1001,pc213,875422001887
1001,pc211,875422008459
1001,pc210,646279599625
1001,pc210,646279599601
1001,pc21,871034015243
1001,pc209,875422000736
1001,pc208,895556001324
1001,pc207,895556001850
1001,pc206,895556001805
1001,pc205,895556001096
1001,pc204,895556001218
1001,pc204,182607000352
1001,pc202,884154450023
1001,pc201,895556001898
1001,pc14,895556001119
1001,pc13,884154411055
1001,pc12,871034013836
1001,pc11,895556001591
1001,pc11,182607000123
1001,pc105,895556001034
1001,pc104,895556001508
1001,pc103,895556001164
1001,pc102,895556001836
1001,pc100,895556001690
1001,pc1,884154977025
1001,paper towel,097464901400
1001,paper towel,037000211969
1001,paper towel, 037000288381
1001,p083820123609,083820123609
1001,old trapper stick,079694104400
1001,old trapper stick,079694103403
1001,old trapper stick,079694102406
1001,old trapper 299,079694223026
1001,old trapper 299,079694221022
1001,old trapper 10oz,079694225129
1001,old trapper 10oz,079694223125
1001,old trapper 10oz,079694222128
1001,old trapper 10oz,079694221121
1001,need3,028200310224
1001,milk half gallon 2,078255001127
1001,milk half gallon 2,072935011000
1001,milk half gallon,078255001523
1001,milk half gallon,072935059705
1001,milk half gallon,072935010201
1001,milk gallon1,078255001097
1001,milk gallon1,072935011604
1001,milk gallon,078255001530
1001,milk gallon,072935011703
1001,milk 315ml 3,072935014100
1001,milk 315ml 2,072935053208
1001,milk 315ml 1,072935011208
1001,lighter economic,693476181009
1001,lays dip 3.7oz,284563
1001,lays dip 15oz,028400070959
1001,lays dip 15oz,028400070942
1001,king henry 299,610546501024
1001,king henry 199,610546456669
1001,king henry 199,610546455426
1001,king henry 199,610546454429
1001,king henry 199,610546454283
1001,king henry 199,610546454023
1001,king henry 199,610546453705
1001,king henry 199,610546453682
1001,king henry 199,610546453668
1001,king henry 199,610546453644
1001,king henry 199,610546453620
1001,king henry 199,610546453606
1001,king henry 199,610546453545
1001,king henry 199,610546453521
1001,king henry 199,610546453507
1001,king henry 199,610546452425
1001,king henry 199,610546452340
1001,king henry 199,610546451800
1001,king henry 199,610546451749
1001,king henry 199,610546451688
1001,king henry 199,610546451589
1001,king henry 199,610546451466
1001,king henry 199,610546451442
1001,king henry 199,610546451428
1001,king henry 199,610546451305
1001,king henry 199,610546451282
1001,king henry 199,610546451268
1001,king henry 199,610546451220
1001,king henry 199,610546451206
1001,king henry 199,610546451190
1001,king henry 199,610546451183
1001,king henry 199,610546451145
1001,king henry 199,610546451107
1001,king henry 199,610546451060
1001,king henry 199,610546451046
1001,king henry 199,610546451039
1001,king henry 199,610546451022
1001,jacklinks Sasquatch,017082897923
1001,jacklink super stick,017082890344
1001,jacklink super stick,017082890030
1001,jacklink super stick,017082890023
1001,jacklink super stick,017082890016
1001,jacklink super stick,017082880635
1001,jacklink super stick,017082880628
1001,jacklink super stick,017082880611
1001,jacklink super stick,017082880604
1001,jacklink stick,017082897602
1001,jacklin 999,017082702463
1001,haagenDazs 4oz cup,074570651726
1001,haagenDazs 4oz cup,074570651719
1001,haagenDazs 4oz cup,074570651108
1001,haagenDazs 4oz cup,074570651092
1001,haagenDazs 4oz cup,074570082025
1001,haagenDazs 4oz cup,074570082018
1001,haagendaz bar,074570146000
1001,haagendaz bar,074570036004
1001,haagendaz bar,074570026005
1001,haagendaz bar,074570016006
1001,haagendaz bar,074570006007
1001,grandma 2.25oz mix,028400079174
1001,grandma 2.25oz mix,028400079167
1001,grandma 2.25oz mix,028400079150
1001,grandma 2.25oz mix,028400079143
1001,grandma 2.25oz mix,028400001526
1001,frito lay 2/1,029000090422
1001,frito lay 2/1,029000075375
1001,frito lay 2/1,028400078436
1001,frito lay 2/1,028400078412
1001,frito lay 2/1,028400078405
1001,frito lay 2/1,028400078399
1001,frito lay 2/1,028400078368
1001,frito lay 2/1,028400070874
1001,frito lay 2/1,028400070836
1001,frito lay 2/1,028400070799
1001,frito lay 2/1,028400051880
1001,frito lay 2/1,028400045483
1001,frito lay 2/1,028400045476
1001,frito lay 2/1,028400045469
1001,frito lay 2/1,028400039079
1001,frito lay 2/1,028400039062
1001,frito lay 2/1,028400039055
1001,frito lay 1,028400078351
1001,frito lay 1,028400070911
1001,frito lay 1,028400070904
1001,frito lay 1,028400070898
1001,frito lay 1,028400038881
1001,flower 199,701511270479
1001,flower 199,018505130160
1001,fl snack,028400079211
1001,fl snack,028400079204
1001,fl snack,028400079198
1001,fl snack,028400079181
1001,energy drink 1.99,897561001009
1001,energy drink 1.99,895942000047
1001,energy drink 1.99,892143001019
1001,energy drink 1.99,892143001002
1001,energy drink 1.99,859561001007
1001,energy drink 1.99,833050007787
1001,energy drink 1.99,786162312020
1001,energy drink 1.99,684623447765
1001,energy drink 1.99,684623447741
1001,energy drink 1.99,620221209084
1001,energy drink 1.99,186770000720
1001,energy drink 1.99,186770000690
1001,energy drink 1.99,080793805006
1001,energy drink 1.99,080793804856
1001,energy drink 1.99,070847811558
1001,energy drink 1.99,027434021555
1001,egg,072935018504
1001,dogfood 375,023100010779
1001,dogfood 375,023100010700
1001,dogfood 375,023100010045
1001,dlish,748252260109
1001,dlish,748252260000
1001,dlish,748252259905
1001,dlish,748252259806
1001,dlish,748252259707
1001,dlish,748252259608
1001,dlish,748252259509
1001,dlish,748252259400
1001,dlish,748252259301
1001,dlish,748252259202
1001,dlish,748252259103
1001,dlish,748252259004
1001,dlish,748252258908
1001,dlish,748252258809
1001,dlish,748252258700
1001,dlish,748252258601
1001,dlish,748252258502
1001,dlish,748252258403
1001,dlish,748252258304
1001,dlish,748252258205
1001,dlish,748252258106
1001,dlish,748252258007
1001,dlish,748252257901
1001,dlish,748252257802
1001,dlish,748252257703
1001,dlish,748252257604
1001,dlish,748252257505
1001,dlish,748252257406
1001,dlish,748252257307
1001,dlish,748252257208
1001,dlish,748252257109
1001,dlish,748252257000
1001,dlish,748252256904
1001,dlish,748252256805
1001,dlish,748252256706
1001,dlish,748252256607
1001,dlish,748252256508
1001,dlish,748252256409
1001,dlish,748252256300
1001,dlish,748252256201
1001,dlish,748252256102
1001,dlish,748252255907
1001,dlish,748252255808
1001,dlish,748252255709
1001,dlish,748252255600
1001,dlish,748252255501
1001,dlish,748252255402
1001,comb,013114616364
1001,catfood 5.5oz,050000424443
1001,catfood 5.5oz,050000423347
1001,catfood 5.5oz,050000423149
1001,catfood 5.5oz,050000422845
1001,candy25,140872
1001,candy25,107083
1001,candy25,041770047604
1001,candy25,041770046003
1001,candy10,75023010
1001,candy10,75023003
1001,candy10,75022990
1001,candy10,75022983
1001,candy10,75022976
1001,candy10,75022952
1001,candle,882934889421
1001,candle,882934889261
1001,candle,882934889247
1001,candle,882934889223
1001,candle,7503002398050
1001,candle,7503002398036
1001,bridgeford 499,070411032372
1001,bridgeford 499,047500006576
1001,bridgeford 199,047500004909
1001,bridgeford 199,047500004893
1001,bread,045000110038
1001,bic small,703324
1001,bic large,676758233153
1001,bic large,070330622388
1001,bic large,070330600065
1001,ben & jerry pint,077567046147
1001,ben & jerry pint,077567046130
1001,ben & jerry pint,077567046123
1001,ben & jerry pint,077567046116
1001,ben & jerry pint,076840400348
1001,ben & jerry pint,076840400232
1001,ben & jerry pint,076840400164
1001,ben & jerry pint,076840400058
1001,ben & jerry pint,076840102051
1001,ben & jerry pint,076840101832
1001,ben & jerry pint,076840101320
1001,ben & jerry pint,076840101184
1001,ben & jerry pint,076840100811
1001,ben & jerry pint,076840100583
1001,ben & jerry pint,076840100552
1001,ben & jerry pint,076840100477
1001,ben & jerry pint,076840100354
1001,ben & jerry pint,076840100187
1001,ben & jerry pint,076840100156
1001,ben & jerry pint,076840100149
1001,ben & jerry pint,076840100125
1001,ben & jerry pint,076840100071
1001,ben & jerry pint,076840100057
1001,ben & jerry pint,076840100040
1001,ben & jerry pint,076840042494
1001,ben & jerry pint,076840036745
1001,ben & jerry bar,077567051417
1001,ben & jerry bar,076840200344
1001,ben & jerry bar,076840200320
1001,ben & jerry bar,076840200313
1001,ben & jerry bar,076840200290
1001,ben & jerry bar,076840100361
1001,ben & jerry bar,076840100330
1001,ben & jerry bar,076840100323
1001,ben & jerry bar,076840100316
1001,Beef Jerky 1,092116008148
1001,battery d 2pk,5000394033610
1001,battery d 2pk,073096500174
1001,battery d 2pk,041333213019
1001,battery d 2pk,041333000985
1001,battery d 2pk,039800011398
1001,battery c 2pk,5000394033627
1001,battery c 2pk,073096500204
1001,battery c 2pk,041333214016
1001,battery c 2pk,039800011367
1001,battery aaa 4pk,8888021200126
1001,battery aaa 4pk,4891259524104
1001,battery aaa 4pk,041333424019
1001,battery aaa 2pk,5000394026568
1001,battery aaa 2pk,073096500266
1001,battery aaa 2pk,041333224015
1001,battery aaa 2pk,039800035967
1001,battery aa 4pk,5000394026599
1001,battery aa 4pk,4891259324100
1001,battery aa 4pk,073096500235
1001,battery aa 4pk,041333415017
1001,battery aa 2pk,5000394026711
1001,battery aa 2pk,4891259322106
1001,battery aa 2pk,041333215013
1001,battery aa 2pk,039800015464
1001,battery 9v 2pk,073096500303
1001,battery 9v 2pk,041333116013
1001,Barcel 299,757528008680
1001,Barcel 299,757528008581
1001,Barcel 299,757528003180
1001,Barcel 299,757528001322
1001,Barcel 299,757528001148
1001,Barcel 299,757528001117
1001,Barcel 299,757528001100
1001,Barcel 299,074323096323
1001,Barcel 299,074323078190
1001,Barcel 299,074323033519
1001,Barcel 299,074323027518
1001,Barcel 149,757528009205
1001,Barcel 149,757528008833
1001,Barcel 149,757528008826
1001,Barcel 149,757528008819
1001,Barcel 149,757528008802
1001,Barcel 149,757528003364
1001,Barcel 149,757528003111
1001,Barcel 149,757528001087
1001,Barcel 149,074323096262
1001,Barcel 149,074323078336
1001,Barcel 149,074323063912
1001,Barcel 149,074323058000
1001,Barcel 149,074323043587
1001,Barcel 149,074323033465
1001,Barcel 149,074323031591
1001,Barcel 149,074323027532
1001,bailey 50 flavor,086767701770
1001,bag,179594140437
1001,b2g1f reynold,012300250672
1001,b2g1f reynold,012300250665
1001,b2g1f phillip,028200195739
1001,b2g1f phillip,028200194336
1001,b2g1f phillip,028200194329
1001,b2g1f phillip,028200194312
1001,b2g1f phillip,028200194299
1001,b2g1f phillip,028200194282
1001,b2g1f phillip,028200194275
1001,b2g1f phillip,028200194251
1001,b2g1f phillip,028200194213
1001,b2g1f phillip,028200193261
1001,b2g1f phillip,028200193193
1001,b2g1f phillip,028200192332
1001,b2g1f phillip,028200191083
1001,b2g1f phillip,028200172891
1001,b2g1f,028200172877
1001,b2g1f,026100004991
1001,b2g1f,026100004984
1001,b1g1f reynold,027200364336
1001,b1g1f reynold,027200364251
1001,b1g1f reynold,027200359912
1001,b1g1f reynold,027200359776
1001,b1g1f reynold,027200359769
1001,b1g1f reynold,027200359752
1001,b1g1f reynold,027200343508
1001,b1g1f reynold,027200337637
1001,b1g1f reynold,027200101580
1001,b1g1f reynold,027200101573
1001,b1g1f reynold,012300360784
1001,b1g1f reynold,012300360777
1001,b1g1f reynold,012300350884
1001,b1g1f reynold,012300350877
1001,b1g1f reynold,012300350242
1001,b1g1f reynold,012300350235
1001,b1g1f reynold,012300350228
1001,b1g1f reynold,012300350211
1001,b1g1f reynold,012300341646
1001,b1g1f reynold,012300341639
1001,b1g1f reynold,012300339759
1001,b1g1f reynold,012300339742
1001,b1g1f reynold,012300332903
1001,b1g1f reynold,012300316552
1001,b1g1f reynold,012300316545
1001,b1g1f reynold,012300200035
1001,b1g1f reynold,012300200028
1001,b1g1f reynold,012300198820
1001,b1g1f reynold,012300198769
